Model Year	Mfr Name	Division	Region	Carline	Verify Mfr Cd	Eng Displ	# Cyl	Transmission	City FE (Guide) - Conventional Fuel	Hwy FE (Guide) - Conventional Fuel	Comb FE (Guide) - Conventional Fuel	City Unadj FE - Conventional Fuel	Hwy Unadj FE - Conventional Fuel	Comb Unadj FE - Conventional Fuel	City Unrd Adj FE - Conventional Fuel	Hwy Unrd Adj FE - Conventional Fuel	Comb Unrd Adj FE - Conventional Fuel	Trans	Trans Desc	# Gears	Lockup Torque Converter	Trans Creeper Gear	Drive Sys	Drive Desc	Fuel Usage  - Conventional Fuel	Annual Fuel1 Cost - Conventional Fuel	EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.	Descriptor - Model Type (40 Char or less)	Intake Valves Per Cyl	Exhaust Valves Per Cyl	Carline Class	Carline Class Desc	Class	Car/Truck Category - Cash for Clunkers Bill.	MFR Calculated Gas Guzzler MPG	City CO2 Rounded Adjusted	Hwy CO2 Rounded Adjusted	Comb CO2 Rounded Adjusted (as shown on FE Label)
2021	Volvo	"Volvo Cars of North America, LLC"	Europe	XC40 AWD	VVX	2	4	Auto(S8)	22	30	25	27.4	42.7	32.6673	21.5376	29.8444	24.6215	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GPR	1950	1950	SIDI;	2	2	31	Small SUV 4WD	SUV			410	296	359
2021	Volvo	"Volvo Cars of North America, LLC"	Europe	XC60 AWD	VVX	2	4	Auto(S8)	20	27	23	25.4	38.9	30.1008	20.0948	27.4208	22.8409	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GPR	2100	2100	SIDI;	2	2	31	Small SUV 4WD	SUV			439	322	386
2021	Volvo	"Volvo Cars of North America, LLC"	Europe	XC60 AWD	VVX	2	4	Auto(S8)	21	28	24	26.6	39.5	31.1827	20.9627	27.8062	23.5735	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	GPR	2050	2050	SIDI;	2	2	31	Small SUV 4WD	SUV			422	318	375
2021	General Motors	Cadillac	US	ESCALADE 2WD	GMX	6.2	8	Auto(A10)	15	20	17	18.7547	31.3362	22.8904	14.6245	20.1712	16.6897	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	GPR	2850	2850	SIDI;	1	1	32	Standard SUV 2WD	SUV			603	440	530
2021	General Motors	Chevrolet	US	SUBURBAN 2WD	GMX	5.3	8	Auto(A10)	16	20	18	20.4	30.7971	24.0543	16.4046	20	18	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	G	2250	2250	SIDI;	1	1	32	Standard SUV 2WD	SUV			541	441	492
2021	General Motors	Chevrolet	US	SUBURBAN 2WD	GMX	6.2	8	Auto(A10)	15	20	17	18.9	32.2	23.215	14.7945	20.3003	16.8511	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	GPR	2850	2850	SIDI;	1	1	32	Standard SUV 2WD	SUV			596	437	525
2021	General Motors	Chevrolet	US	TAHOE 2WD	GMX	5.3	8	Auto(A10)	16	20	18	20.4	30.7971	24.0543	16.4046	20	18	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	G	2250	2250	SIDI;	1	1	32	Standard SUV 2WD	SUV			541	441	492
2021	General Motors	Chevrolet	US	TAHOE 2WD	GMX	6.2	8	Auto(A10)	15	20	17	18.9	32.2	23.215	14.7945	20.3003	16.8511	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	GPR	2850	2850	SIDI;	1	1	32	Standard SUV 2WD	SUV			596	437	525
2021	General Motors	GMC	US	YUKON 2WD	GMX	5.3	8	Auto(A10)	16	20	18	20.4	30.7971	24.0543	16.4046	20	18	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	G	2250	2250	SIDI;	1	1	32	Standard SUV 2WD	SUV			541	441	492
2021	General Motors	GMC	US	YUKON 2WD	GMX	6.2	8	Auto(A10)	15	20	17	18.9	32.2	23.215	14.7945	20.3003	16.8511	A	Automatic	10	Y	N	R	"2-Wheel Drive, Rear"	GPR	2850	2850	SIDI;	1	1	32	Standard SUV 2WD	SUV			596	437	525
