Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Displacement	Cylinders	Transmission	Gears	CityCO2	HwyCO2	CombCO2
2019	BMW	BMW	530i	"2-Wheel Drive, Rear"	24	34	27	2.0	4	Auto(S8)	8	375	260	324
2019	BMW	BMW	530i xDrive	All Wheel Drive	23	33	27	2.0	4	Auto(S8)	8	381	270	331
2019	BMW	BMW	540i	"2-Wheel Drive, Rear"	21	29	24	3.0	6	Auto(S8)	8	429	300	371
2019	BMW	BMW	540i xDrive	All Wheel Drive	21	29	24	3.0	6	Auto(S8)	8	426	304	371
2019	BMW	BMW	M5	All Wheel Drive	15	21	17	4.4	8	Auto(S8)	8	602	423	521
2019	BMW	BMW	M5 Competition	All Wheel Drive	15	21	17	4.4	8	Auto(S8)	8	602	423	521
2019	BMW	BMW	M550i xDrive	All Wheel Drive	18	25	20	4.4	8	Auto(S8)	8	502	348	433
2019	BMW	BMW	X2 M35i	All Wheel Drive	23	29	25	2.0	4	Auto(S8)	8	387	301	348
2019	BMW	BMW	X2 sDrive28i	"2-Wheel Drive, Front"	23	32	26	2.0	4	Auto(S8)	8	391	280	341
2019	BMW	BMW	X2 xDrive28i	All Wheel Drive	21	31	25	2.0	4	Auto(S8)	8	412	290	357
2019	General Motors	Buick	LACROSSE	"2-Wheel Drive, Front"	25	35	29	2.5	4	Auto(S6)	6	352	255	308
2019	General Motors	Buick	LACROSSE	"2-Wheel Drive, Front"	20	30	24	3.6	6	Auto(S9)	9	440	294	374
2019	General Motors	Buick	LACROSSE AWD	All Wheel Drive	20	29	23	3.6	6	Auto(S9)	9	442	311	383
2019	General Motors	Buick	REGAL	"2-Wheel Drive, Front"	22	32	26	2.0	4	Auto(S9)	9	399	279	345
2019	General Motors	Buick	REGAL AWD	All Wheel Drive	21	29	24	2.0	4	Auto(S8)	8	416	303	365
2019	General Motors	Buick	REGAL AWD	All Wheel Drive	19	27	22	3.6	6	Auto(S9)	9	468	329	404
2019	General Motors	Cadillac	CTS	"2-Wheel Drive, Rear"	22	30	25	2.0	4	Auto(S8)	8	405	295	353
2019	General Motors	Cadillac	CTS	"2-Wheel Drive, Rear"	19	29	23	3.6	6	Auto(S8)	8	466	312	396
2019	General Motors	Cadillac	CTS	"2-Wheel Drive, Rear"	16	24	19	3.6	6	Auto(S8)	8	555	370	468
2019	General Motors	Cadillac	CTS AWD	All Wheel Drive	21	29	24	2.0	4	Auto(S8)	8	428	305	373
2019	General Motors	Cadillac	CTS AWD	All Wheel Drive	18	26	21	3.6	6	Auto(S8)	8	503	347	433
2019	General Motors	Cadillac	CTS-V	"2-Wheel Drive, Rear"	14	21	16	6.2	8	Auto(S8)	8	648	414	543
2019	General Motors	Chevrolet	CRUZE HATCHBACK	"2-Wheel Drive, Front"	28	38	32	1.4	4	Auto(S6)	6	311	234	277
2019	General Motors	Chevrolet	CRUZE HATCHBACK	"2-Wheel Drive, Front"	30	45	35	1.6	4	Auto(A9)	9	352	253	310
2019	General Motors	Chevrolet	CRUZE PREMIER HATCHBACK	"2-Wheel Drive, Front"	28	37	31	1.4	4	Auto(S6)	6	311	240	286
2019	General Motors	Chevrolet	MALIBU	"2-Wheel Drive, Front"	29	36	32	1.5	4	Auto(AV)	1	308	247	281
2019	General Motors	Chevrolet	MALIBU	"2-Wheel Drive, Front"	49	43	46	1.8	4	Auto(AV)	1	185	206	194
2019	General Motors	Chevrolet	MALIBU	"2-Wheel Drive, Front"	22	32	26	2.0	4	Auto(A9)	9	396	279	344
2019	FCA US LLC	Dodge	Challenger	"2-Wheel Drive, Rear"	19	30	23	3.6	6	Auto(A8)	8	466	295	389
2019	FCA US LLC	Dodge	Challenger	"2-Wheel Drive, Rear"	16	25	19	5.7	8	Auto(A8)	8	556	355	466
2019	FCA US LLC	Dodge	Challenger	"2-Wheel Drive, Rear"	15	23	18	5.7	8	Manual(M6)	6	587	380	494
2019	FCA US LLC	Dodge	Challenger	"2-Wheel Drive, Rear"	15	24	18	6.4	8	Auto(A8)	8	607	365	498
2019	FCA US LLC	Dodge	Challenger	"2-Wheel Drive, Rear"	14	23	17	6.4	8	Manual(M6)	6	629	393	523
2019	FCA US LLC	Dodge	Challenger GT	All Wheel Drive	18	27	21	3.6	6	Auto(A8)	8	484	330	415
2019	FCA US LLC	Dodge	Challenger SRT	"2-Wheel Drive, Rear"	13	22	16	6.2	8	Auto(A8)	8	663	403	546
2019	FCA US LLC	Dodge	Challenger SRT	"2-Wheel Drive, Rear"	13	21	16	6.2	8	Manual(M6)	6	680	429	567
2019	Ford Motor Company	Ford	FUSION AWD	All Wheel Drive	20	29	23	2.0	4	Auto(S6)	6	448	311	386
2019	Ford Motor Company	Ford	FUSION AWD	All Wheel Drive	17	26	20	2.7	6	Auto(S6)	6	522	339	444
2019	Ford Motor Company	Ford	FUSION FWD	"2-Wheel Drive, Front"	23	34	27	1.5	4	Auto(S6)	6	378	265	327
2019	Ford Motor Company	Ford	FUSION FWD	"2-Wheel Drive, Front"	21	31	25	2.0	4	Auto(S6)	6	411	287	355
2019	Ford Motor Company	Ford	FUSION FWD	"2-Wheel Drive, Front"	21	31	25	2.5	4	Auto(A6)	6	424	284	361
2019	Ford Motor Company	Ford	FUSION HYBRID FWD	"2-Wheel Drive, Front"	43	41	42	2.0	4	Auto(AV)	1	206	217	212
2019	Ford Motor Company	Ford	FUSION HYBRID TAXI	"2-Wheel Drive, Front"	43	40	41	2.0	4	Auto(AV)	1	206	222	217
2019	Honda	Honda	ACCORD 2.0T SPORT/TOURING	"2-Wheel Drive, Front"	22	32	26	2.0	4	Auto(A10)	10	401	277	345
2019	Honda	Honda	CIVIC 4Dr	"2-Wheel Drive, Front"	32	42	36	1.5	4	Auto(AV)	1	277	212	248
