state	county	trump16_pct	clinton16_pct	otherpres16_pct	romney12_pct	obama12_pct	otherpres12_pct	senaterace16	houserace16	govrace16	total_population	cvap	voterturnout16_pct	voterturnout12_pct	voterturnout_pct_diff	white_pct	nonwhite_pct	black_pct	hispanic_pct	foreignborn_pct	female_pct	age29andunder_pct	age65andolder_pct	median_hh_inc	clf_unemploy_pct	lesshs_pct	lesscollege_pct	rural_pct
Virginia	York	0.552113254	0.381001231	0.066885515	0.5950578741	0.3882720231	0.0166701028	No Race	Race	No Race	66919	48535	0.7029566292	0.6995570207	0.0033996085	72.49361168	27.50638832	12.885727521	5.6829898833	8.0844005439	50.94816121	39.189168995	14.270984324	83410	6.0655276884	6.175894886	56.77548541	6.0995356226
Virginia	Alexandria	0.1753332453	0.7554705028	0.0691962518	0.2758305976	0.7110514773	0.0131179251	No Race	No Race	No Race	151473	100825	0.751500124	0.728103149	0.023396975	52.036336509	47.963663491	21.06844124	16.741597512	27.777887808	51.770942676	34.734243066	10.017626904	89200	3.9833384758	8.6204800445	37.911181354	0
Virginia	Bristol	0.6956769056	0.2609499431	0.0433731513	0.6470827129	0.3373493976	0.0155678895	No Race	No Race	No Race	17340	13500	0.5208888889	0.5471851852	-0.026296296	88.056516724	11.943483276	6.6897347174	1.9780853518	1.2745098039	53.379469435	36.078431373	19.452133795	35801	8.6808095586	16.447958269	76.566957372	0.0392486683
Virginia	Buena Vista	0.5941005401	0.2879102617	0.1179891982	0.6191607284	0.3638163104	0.0170229612	No Race	No Race	No Race	6610	5200	0.4628846154	0.4857692308	-0.022884615	88.517397882	11.482602118	1.6641452345	1.2556732224	0.6807866868	55.885022693	44.114977307	16.611195159	29109	6.142668428	18.842334706	83.845967547	3.8947368421
Virginia	Charlottesville	0.1317194731	0.7965913136	0.0716892132	0.2222324173	0.7574436849	0.0203238978	No Race	No Race	No Race	45538	34855	0.6447281595	0.6253622149	0.0193659446	65.962492863	34.037507137	18.639378102	5.0397470245	12.152488032	51.56352936	49.532258773	9.4141156836	50727	3.874950219	9.677532422	49.961444094	0
Virginia	Chesapeake	0.4795439421	0.4669446786	0.0535113793	0.4881141046	0.4985465248	0.0133393706	No Race	No Race	No Race	233194	172030	0.655147358	0.6418938557	0.0132535023	58.896455312	41.103544688	29.265761555	5.2720052832	4.9688242408	51.161693697	40.651560503	11.878950573	69978	6.2874251497	8.6484283524	69.624732344	7.6270538097
Virginia	Colonial Heights	0.671751212	0.2798864846	0.0483623034	0.6888914657	0.2949907236	0.0161178108	No Race	No Race	No Race	17554	13255	0.6380233874	0.6506224066	-0.012599019	75.583912499	24.416087501	12.971402529	5.3036344993	7.496866811	54.038965478	36.84060613	20.19482739	49639	8.3637219151	10.992329035	78.137750938	0
Virginia	Covington	0.5663308144	0.3837111671	0.0499580185	0.4184549356	0.5660944206	0.0154506438	No Race	No Race	No Race	5650	4465	0.5334826428	0.5218365062	0.0116461366	81.469026549	18.530973451	14.548672566	1.2566371681	1.8584070796	48.619469027	35.522123894	20	34703	5.2293184741	15.145334013	88.730239674	0
Virginia	Danville	0.3853419164	0.5835268046	0.031131279	0.3842308454	0.6047317363	0.0110374183	No Race	No Race	No Race	42360	32385	0.5852092018	0.6238690752	-0.038659873	44.386213409	55.613786591	48.826723324	3.5859301228	3.2507082153	54.251652502	37.603871577	19.603399433	33721	11.822142895	20.232462456	81.790440924	4.5151550343
Virginia	Emporia	0.3333333333	0.6463878327	0.020278834	0.3286350148	0.6650593472	0.006305638	No Race	Race	No Race	5565	4015	0.5895392279	0.6714819427	-0.081942715	31.6262354	68.3737646	63.953279425	3.2524707996	3.5759209344	53.926325247	41.060197664	16.92722372	27169	18.771186441	23.087320898	84.671532847	6.3101062932
Virginia	Fairfax	0.3077306733	0.6123857024	0.0798836243	0.4106114025	0.5719322384	0.0174563591	No Race	No Race	No Race	23620	15750	0.7638095238	0.7383492063	0.0254603175	59.072819644	40.927180356	4.7713801863	16.6723116	27.99322608	50.779000847	37.040643522	15.241320914	104065	5.5354176106	8.1663356803	45.272913282	0
Virginia	Falls Church	0.170684543	0.7501611448	0.0791543122	0.2950797141	0.6892523364	0.0156679494	No Race	No Race	No Race	13597	9595	0.8084418968	0.7583116206	0.0501302762	72.089431492	27.910568508	5.3761859234	9.9213061705	16.459513128	51.629035817	37.243509598	12.43656689	115244	5.3007889546	2.0475986278	19.789879931	0
Virginia	Franklin	0.3491400491	0.6189189189	0.0319410319	0.3431192661	0.6497706422	0.0071100917	No Race	No Race	No Race	8413	6270	0.649122807	0.6953748006	-0.046251994	37.762985855	62.237014145	58.599786045	1.0697729704	1.866159515	56.032330916	38.238440509	17.924640437	38333	14.614443084	18.799861256	77.610128339	3.2509904451
Virginia	Fredericksburg	0.3323863636	0.5954367898	0.0721768466	0.3549881962	0.6235026668	0.021509137	No Race	No Race	No Race	27853	20995	0.5365086925	0.5447487497	-0.008240057	60.072523606	39.927476394	21.764262377	10.824686748	9.15161742	53.089433813	50.744982587	10.401034	53980	7.3857209395	8.722097196	57.703302719	1.1652804085
Virginia	Galax	0.6746632997	0.2866161616	0.0387205387	0.5849802372	0.395256917	0.0197628458	No Race	No Race	No Race	6858	4825	0.4924352332	0.4719170984	0.0205181347	74.234470691	25.765529309	6.8533100029	17.454068241	10.688247302	52.02682998	32.925051035	21.843102945	31110	6.6126418152	23.436551305	90.366322607	13.717693837
Virginia	Hampton	0.2870934633	0.6625184425	0.0503880942	0.2803429087	0.7063618589	0.0132952324	No Race	No Race	No Race	136789	104855	0.5946879023	0.6341137762	-0.039425874	39.715181776	60.284818224	49.27150575	5.2898990416	4.6231787644	51.762934154	42.145201734	13.661917259	49890	8.9168660909	9.8612279226	75.999291753	0.2488430979
Virginia	Harrisonburg	0.3480242316	0.5675540488	0.0844217196	0.4210222536	0.5549926249	0.0239851215	No Race	No Race	No Race	51979	38750	0.4643354839	0.4024	0.0619354839	68.333365398	31.666634602	6.3871948287	18.184266723	16.577848747	52.178764501	59.43746513	8.1455972604	40494	5.9114037713	14.932719406	63.751835827	0
